,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
131,BUY,2025-07-15 09:00:00,2025-07-28 01:00:00,3361.29,3329.61,3253.59,3576.69,0.02,loss,-63.5,17420.94
132,BUY,2025-07-21 13:00:00,2025-08-01 05:00:00,3369.09,3291.74,3253.59,3600.09,0.02,loss,-154.84,17266.1
133,BUY,2025-07-23 08:00:00,2025-08-04 23:00:00,3423.39,3373.74,3253.59,3762.99,0.01,loss,-49.72,17216.38
134,SELL,2025-07-28 14:00:00,2025-07-30 16:00:00,3333.56,3300.22,3350.23,3300.22,0.1,win,343.63,17560.01
135,SELL,2025-07-30 14:00:00,2025-07-30 18:00:00,3327.83,3294.55,3344.47,3294.55,0.11,win,350.43,17910.44
136,SELL,2025-07-31 15:00:00,2025-08-01 15:00:00,3304.59,3321.11,3321.11,3271.54,0.11,loss,-179.87,17730.57
137,BUY,2025-08-04 15:00:00,2025-08-15 07:00:00,3370.78,3345.41,3276.72,3558.9,0.02,loss,-50.88,17679.69
138,BUY,2025-08-05 07:00:00,2025-08-15 22:00:00,3374.1,3339.13,3276.72,3568.86,0.02,loss,-70.08,17609.61
139,BUY,2025-08-05 14:00:00,2025-08-18 06:00:00,3354.43,3346.98,3276.72,3509.85,0.02,loss,-15.04,17594.57
140,BUY,2025-08-07 08:00:00,2025-08-19 23:00:00,3378.47,3315.36,3276.72,3581.97,0.02,loss,-126.36,17468.21
141,BUY,2025-08-12 09:00:00,2025-08-25 01:00:00,3348.38,3367.26,3276.72,3491.7,0.02,win,37.62,17505.83
142,SELL,2025-08-14 14:00:00,2025-08-19 19:00:00,3352.47,3318.95,3369.23,3318.95,0.1,win,349.42,17855.25
143,BUY,2025-08-25 08:00:00,2025-09-01 05:00:00,3367.62,3475.94,3313.46,3475.94,0.03,win,356.9,18212.14
144,BUY,2025-08-25 13:00:00,2025-09-01 05:00:00,3368.98,3480.02,3313.46,3480.02,0.03,win,364.03,18576.17
145,BUY,2025-08-26 13:00:00,2025-08-28 11:00:00,3374.99,3400.99,3361.99,3400.99,0.14,win,370.54,18946.71
146,BUY,2025-08-28 08:00:00,2025-08-28 20:00:00,3392.13,3418.13,3379.13,3418.13,0.15,win,377.88,19324.59
147,BUY,2025-08-28 13:00:00,2025-08-29 16:00:00,3400.01,3426.01,3387.01,3426.01,0.15,win,385.44,19710.03
148,BUY,2025-08-29 13:00:00,2025-08-29 17:00:00,3408.47,3434.47,3395.47,3434.47,0.15,win,393.15,20103.18
149,BUY,2025-09-01 15:00:00,2025-09-02 04:00:00,3472.39,3498.39,3459.39,3498.39,0.15,win,401.01,20504.19
150,BUY,2025-09-04 08:00:00,2025-09-04 16:00:00,3530.39,3556.39,3517.39,3556.39,0.16,win,408.96,20913.15
151,BUY,2025-09-05 13:00:00,2025-09-05 15:00:00,3554.82,3580.82,3541.82,3580.82,0.16,win,417.14,21330.29
152,BUY,2025-09-08 07:00:00,2025-09-08 10:00:00,3584.57,3610.57,3571.57,3610.57,0.16,win,425.49,21755.78
153,BUY,2025-09-09 15:00:00,2025-09-22 07:00:00,3650.46,3692.17,3571.57,3808.24,0.03,win,124.92,21880.7
154,BUY,2025-09-11 14:00:00,2025-09-12 04:00:00,3619.8,3645.8,3606.8,3645.8,0.17,win,436.42,22317.12
155,BUY,2025-09-12 15:00:00,2025-09-16 17:00:00,3648.35,3701.25,3621.9,3701.25,0.08,win,445.78,22762.9
156,BUY,2025-09-16 08:00:00,2025-09-26 23:00:00,3685.69,3760.71,3621.9,3813.27,0.04,win,299.8,23062.7
157,BUY,2025-09-22 07:00:00,2025-09-22 11:00:00,3695.17,3721.17,3682.17,3721.17,0.18,win,459.99,23522.69
158,BUY,2025-09-23 07:00:00,2025-09-30 03:00:00,3747.71,3836.83,3703.15,3836.83,0.05,win,470.1,23992.79
159,BUY,2025-09-24 09:00:00,2025-10-06 02:00:00,3774.18,3916.24,3703.15,3916.24,0.03,win,479.65,24472.44
160,BUY,2025-09-24 13:00:00,2025-10-01 11:00:00,3765.11,3889.03,3703.15,3889.03,0.04,win,489.17,24961.61
161,BUY,2025-10-01 09:00:00,2025-10-08 12:00:00,3862.17,4049.27,3768.62,4049.27,0.03,win,499.02,25460.63
162,BUY,2025-10-02 07:00:00,2025-10-13 08:00:00,3867.21,4064.39,3768.62,4064.39,0.03,win,509.0,25969.63
163,BUY,2025-10-06 15:00:00,2025-10-13 08:00:00,3937.15,4067.75,3871.85,4067.75,0.04,win,519.11,26488.74
164,BUY,2025-10-20 09:00:00,2025-10-31 01:00:00,4239.29,4037.84,3871.85,4974.17,0.01,loss,-201.52,26287.22
165,BUY,2025-10-20 13:00:00,2025-10-31 05:00:00,4257.7,4011.07,3871.85,5029.4,0.01,loss,-246.7,26040.52
166,SELL,2025-10-23 09:00:00,2025-10-23 16:00:00,4110.59,4131.14,4131.14,4069.48,0.13,loss,-261.32,25779.2
167,SELL,2025-10-27 15:00:00,2025-10-27 17:00:00,4042.68,4002.25,4062.89,4002.25,0.13,win,514.67,26293.87
168,SELL,2025-10-29 15:00:00,2025-10-29 21:00:00,4022.52,3982.29,4042.63,3982.29,0.13,win,524.97,26818.84
